,Question,Score,N
0,E7,0.07430966454234998,3.0
0,E7,0.0626979889707719,4.0
0,E7,0.05897776422677893,5.0
0,E7,0.053743290009251675,6.0
0,E7,0.05196254330937395,7.0
0,E7,0.04864470429414078,8.0
0,E7,0.046416059577882626,9.0
0,E7,0.04490082380999462,10.0
0,N8,0.07230160188053826,3.0
0,N8,0.062902714262151,4.0
0,N8,0.05891071630767938,5.0
0,N8,0.056482801232276024,6.0
0,N8,0.05354408847667575,7.0
0,N8,0.05236253776841999,8.0
0,N8,0.0468475166969025,9.0
0,N8,0.04478794558317959,10.0
0,E5,0.07335038070238124,3.0
0,E5,0.06308075464945813,4.0
0,E5,0.059581773176209704,5.0
0,E5,0.05430929302952807,6.0
0,E5,0.053078422873916696,7.0
0,E5,0.04945926100029284,8.0
0,E5,0.04746233935277683,9.0
0,E5,0.045848947766756395,10.0
0,N6,0.07399597152564442,3.0
0,N6,0.06320694053385935,4.0
0,N6,0.059507904191807716,5.0
0,N6,0.05413816245178052,6.0
0,N6,0.053814063607670944,7.0
0,N6,0.052487968850148226,8.0
0,N6,0.04672053905114566,9.0
0,N6,0.045267730258683525,10.0
0,E3,0.07442408725145229,3.0
0,E3,0.06374612579640371,4.0
0,E3,0.05963580878870065,5.0
0,E3,0.05662345443131561,6.0
0,E3,0.05225573137468619,7.0
0,E3,0.051150035082724,8.0
0,E3,0.04727593653410673,9.0
0,E3,0.04575782888144867,10.0
0,N10,0.07411974739401872,3.0
0,N10,0.06357146538794262,4.0
0,N10,0.05920031865068068,5.0
0,N10,0.05738779672752329,6.0
0,N10,0.05266097466144989,7.0
0,N10,0.053011036901874795,8.0
0,N10,0.04732604119887509,9.0
0,N10,0.045272053864149016,10.0
0,N7,0.07302516265521361,3.0
0,N7,0.06337970508570541,4.0
0,N7,0.05882163702618557,5.0
0,N7,0.05457262482682792,6.0
0,N7,0.052601889061338426,7.0
0,N7,0.05260925761029199,8.0
0,N7,0.04670511070330732,9.0
0,N7,0.045149395357972716,10.0
0,E10,0.07460467533985485,3.0
0,E10,0.0643586708180454,4.0
0,E10,0.05984395726223452,5.0
0,E10,0.05386969066279698,6.0
0,E10,0.05210093674598677,7.0
0,E10,0.049614135587782084,8.0
0,E10,0.04727740268448085,9.0
0,E10,0.04577383289437421,10.0
0,N1,0.07512890699497772,3.0
0,N1,0.06396744571553531,4.0
0,N1,0.05948281819936859,5.0
0,N1,0.057538611369213594,6.0
0,N1,0.05421835114259563,7.0
0,N1,0.053185053303296245,8.0
0,N1,0.04716906653648848,9.0
0,N1,0.04568276149136768,10.0
0,E2,0.07446907342432418,3.0
0,E2,0.06450574322680512,4.0
0,E2,0.060479235436852574,5.0
0,E2,0.05705433851291642,6.0
0,E2,0.05281857727788374,7.0
0,E2,0.04974252531674444,8.0
0,E2,0.04736773023385245,9.0
0,E2,0.04589726406578304,10.0
0,N9,0.07359198289506964,3.0
0,N9,0.06379964766215429,4.0
0,N9,0.05960252907964625,5.0
0,N9,0.05499014323169765,6.0
0,N9,0.05221161876905038,7.0
0,N9,0.05279512252597923,8.0
0,N9,0.04668044350404964,9.0
0,N9,0.045352940706007185,10.0
0,E9,0.07466946237263422,3.0
0,E9,0.0646027706789494,4.0
0,E9,0.060107292183153825,5.0
0,E9,0.05744500157719497,6.0
