City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Date - Time
0,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1,jacareacanga,0,BR,1528902000,62,-6.22,-57.76,89.6,6.93,6/13/18 3:00 PM
2,kaitangata,100,NZ,1528905304,94,-46.28,169.85,42.61,5.64,6/13/18 3:55 PM
3,goulburn,20,AU,1528905078,91,-34.75,149.72,44.32,10.11,6/13/18 3:51 PM
4,lata,76,IN,1528905305,89,30.78,78.62,59.89,0.94,6/13/18 3:55 PM
5,chokurdakh,0,RU,1528905306,88,70.62,147.9,32.17,2.95,6/13/18 3:55 PM
6,martyush,92,RU,1528905306,94,56.4,61.89,55.03,9.33,6/13/18 3:55 PM
7,hobart,20,AU,1528902000,87,-42.88,147.33,44.6,8.05,6/13/18 3:00 PM
8,broken hill,0,AU,1528905311,88,-31.97,141.45,44.5,7.31,6/13/18 3:55 PM
9,harnosand,0,SE,1528903200,44,62.63,17.94,60.8,13.87,6/13/18 3:20 PM
10,tuatapere,0,NZ,1528905312,100,-46.13,167.69,38.92,3.4,6/13/18 3:55 PM
11,puerto ayora,90,EC,1528902000,69,-0.74,-90.35,77,13.87,6/13/18 3:00 PM
12,havre-saint-pierre,75,CA,1528902000,58,50.23,-63.6,53.6,19.46,6/13/18 3:00 PM
13,punta arenas,0,CL,1528902000,100,-53.16,-70.91,35.6,9.17,6/13/18 3:00 PM
14,tasiilaq,75,GL,1528901400,60,65.61,-37.64,39.2,2.24,6/13/18 2:50 PM
15,chapais,40,CA,1528902000,38,49.78,-74.86,59,10.29,6/13/18 3:00 PM
16,avarua,40,CK,1528902000,56,-21.21,-159.78,73.4,10.29,6/13/18 3:00 PM
17,hofn,75,IS,1528902000,87,64.25,-15.21,51.8,8.05,6/13/18 3:00 PM
18,yukamenskoye,92,RU,1528905315,98,57.89,52.24,56.65,10.22,6/13/18 3:55 PM
19,khandbari,80,NP,1528905315,67,27.38,87.21,44.59,1.39,6/13/18 3:55 PM
20,bethel,1,US,1528901580,93,60.79,-161.76,44.6,8.05,6/13/18 2:53 PM
21,ushuaia,75,AR,1528902000,64,-54.81,-68.31,41,3.36,6/13/18 3:00 PM
22,east london,0,ZA,1528902000,37,-33.02,27.91,69.8,5.82,6/13/18 3:00 PM
23,bluff,76,AU,1528905321,76,-23.58,149.07,61.96,4.74,6/13/18 3:55 PM
24,mount isa,75,AU,1528902000,100,-20.73,139.49,64.4,3.29,6/13/18 3:00 PM
25,pevek,0,RU,1528905321,71,69.7,170.27,36.94,6.98,6/13/18 3:55 PM
26,gao,24,ML,1528905321,16,16.28,-0.04,110.02,4.97,6/13/18 3:55 PM
27,cabo san lucas,75,MX,1528901160,74,22.89,-109.91,84.2,10.29,6/13/18 2:46 PM
28,sao filipe,0,CV,1528905323,88,14.9,-24.5,75.73,13.02,6/13/18 3:55 PM
29,tiksi,44,RU,1528905298,58,71.64,128.87,57.73,10.11,6/13/18 3:54 PM
30,busselton,92,AU,1528905323,100,-33.64,115.35,60.43,10.56,6/13/18 3:55 PM
